NAICS,Industry,Direct Sales,Indirect Sales,Induced Sales,Direct Jobs,Indirect Jobs,Induced Jobs,Direct Earnings,Indirect Earnings,Induced Earnings,Direct Value Added,Indirect Value Added,Induced Value Added,Value Added To Sales,Jobs To Sales,Earnings To Sales,Total Sales,Total Jobs,Total Earnings
111000,Crop Production,0.0960,0.0038,0.1168,0.1628,0.0056,0.0330,0.1362,0.0051,0.0533,0.1228,0.0047,0.1967,0.4661,0.0000,0.2398,1.2166,1.2014,1.1946
112000,Animal Production,0.0228,0.0011,0.0890,0.0491,0.0026,0.0458,0.0396,0.0020,0.0664,0.0340,0.0017,0.1791,0.3733,0.0000,0.1826,1.1129,1.0976,1.1080
113110,Timber Tract Operations,0.1448,0.0018,0.0527,0.5711,0.0012,0.0326,0.2852,0.0010,0.0431,0.2667,0.0020,0.0558,0.4905,0.0000,0.4305,1.1993,1.6048,1.3294
113210,Forest Nurseries and Gathering of Forest Products,0.1442,0.0018,0.0509,0.3944,0.0008,0.0220,0.2830,0.0010,0.0415,0.2659,0.0020,0.0543,0.4902,0.0000,0.4328,1.1970,1.4172,1.3254
113310,Logging,0.1490,0.0019,0.0525,0.8721,0.0018,0.0476,0.3034,0.0010,0.0442,0.2822,0.0021,0.0573,0.4765,0.0000,0.4158,1.2033,1.9215,1.3487
114111,Finfish Fishing,0.0061,0.0002,0.1966,0.0069,0.0002,0.0695,0.0054,0.0001,0.0936,0.0049,0.0001,0.1634,0.8108,0.0000,0.4133,1.2029,1.0766,1.0992
114112,Shellfish Fishing,0.0063,0.0002,0.1991,0.0031,0.0001,0.0309,0.0057,0.0001,0.0969,0.0051,0.0001,0.1648,0.8102,0.0000,0.4091,1.2056,1.0341,1.1028
114119,Other Marine Fishing,0.0081,0.0002,0.1997,0.0103,0.0003,0.1014,0.0067,0.0002,0.0999,0.0064,0.0001,0.1639,0.8079,0.0000,0.4099,1.2081,1.1120,1.1068
114210,Hunting and Trapping,0.0069,0.0002,0.2042,0.0056,0.0001,0.0589,0.0062,0.0002,0.1058,0.0055,0.0001,0.1658,0.8093,0.0000,0.4050,1.2113,1.0647,1.1122
115111,Cotton Ginning,0.0047,0.0002,0.0359,0.0003,0.0000,0.0034,0.0011,0.0001,0.0130,0.0027,0.0001,0.0226,0.9410,0.0000,0.9000,1.0407,1.0037,1.0142
115112,"Soil Preparation, Planting, and Cultivating",0.0096,0.0003,0.0361,0.0006,0.0000,0.0047,0.0017,0.0001,0.0130,0.0055,0.0002,0.0231,0.9410,0.0000,0.9030,1.0460,1.0053,1.0148
115113,"Crop Harvesting, Primarily by Machine",0.0066,0.0002,0.0358,0.0006,0.0000,0.0053,0.0014,0.0001,0.0131,0.0038,0.0001,0.0229,0.9409,0.0000,0.9033,1.0427,1.0060,1.0146
115114,Postharvest Crop Activities (except Cotton Ginning),0.0078,0.0003,0.0361,0.0007,0.0000,0.0062,0.0015,0.0001,0.0132,0.0045,0.0001,0.0233,0.9409,0.0000,0.9048,1.0442,1.0069,1.0147
115115,Farm Labor Contractors and Crew Leaders,0.0116,0.0004,0.0556,0.0015,0.0001,0.0096,0.0027,0.0001,0.0206,0.0072,0.0003,0.0382,0.8780,0.0000,0.8038,1.0676,1.0112,1.0235
115116,Farm Management Services,0.0052,0.0002,0.0342,0.0006,0.0000,0.0057,0.0011,0.0001,0.0125,0.0030,0.0001,0.0220,0.9408,0.0000,0.9047,1.0396,1.0063,1.0137
115210,Support Activities for Animal Production,0.0032,0.0001,0.0346,0.0007,0.0000,0.0104,0.0008,0.0000,0.0126,0.0019,0.0001,0.0219,0.9411,0.0000,0.9022,1.0379,1.0112,1.0134
115310,Support Activities for Forestry,0.0033,0.0001,0.0368,0.0003,0.0000,0.0040,0.0008,0.0000,0.0137,0.0019,0.0001,0.0233,0.9408,0.0000,0.9017,1.0402,1.0043,1.0145
211120,Crude Petroleum Extraction,0.0112,0.0005,0.2005,0.0195,0.0020,0.2018,0.0304,0.0018,0.3233,0.0122,0.0005,0.2522,0.5347,0.0000,0.1183,1.2122,1.2232,1.3555
211130,Natural Gas Extraction,0.0112,0.0005,0.1997,0.0504,0.0051,0.5161,0.0302,0.0017,0.3172,0.0122,0.0005,0.2520,0.5349,0.0000,0.1189,1.2114,1.5716,1.3492
212114,Surface Coal Mining,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
212115,Underground Coal Mining,0.0248,0.0009,0.2144,0.0765,0.0034,0.1808,0.0599,0.0023,0.1959,0.0220,0.0008,0.2568,0.6276,0.0000,0.1401,1.2402,1.2606,1.2582
212210,Iron Ore Mining,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
212220,Gold Ore and Silver Ore Mining,0.0166,0.0006,0.1477,0.0610,0.0022,0.1649,0.0304,0.0010,0.1192,0.0184,0.0006,0.2039,0.5169,0.0000,0.1969,1.1648,1.2281,1.1506
212230,"Copper, Nickel, Lead, and Zinc Mining",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
212290,Other Metal Ore Mining,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
