NAICS,Demand for,Demand met In-region,% Demand met In-region,Demand met by Imports,% Demand met by Imports,Total Demand
901199,"Federal Government, Civilian, Excluding Postal Service",$0,0.0%,"$470,671,534",100.0%,"$470,671,534"
902999,"State Government, Excluding Education and Hospitals","$96,441,429",32.2%,"$202,784,149",67.8%,"$299,225,578"
903999,"Local Government, Excluding Education and Hospitals","$67,635,600",49.0%,"$70,531,299",51.0%,"$138,166,899"
901200,"Federal Government, Military",$0,0.0%,"$128,518,062",100.0%,"$128,518,062"
903611,Elementary and Secondary Schools (Local Government),"$126,805,456",100.0%,$0,0.0%,"$126,805,456"
622110,General Medical and Surgical Hospitals,"$13,336,595",11.1%,"$106,642,138",88.9%,"$119,978,733"
621111,Offices of Physicians (except Mental Health Specialists),"$59,534,394",86.3%,"$9,437,802",13.7%,"$68,972,196"
523940,Portfolio Management and Investment Advice,"$2,022,538",3.6%,"$54,892,842",96.4%,"$56,915,380"
722513,Limited-Service Restaurants,"$11,291,362",20.6%,"$43,479,341",79.4%,"$54,770,703"
522110,Commercial Banking,"$170,399",0.3%,"$53,093,846",99.7%,"$53,264,245"
722511,Full-Service Restaurants,"$3,550,039",7.0%,"$46,993,325",93.0%,"$50,543,363"
551114,"Corporate, Subsidiary, and Regional Managing Offices","$1,581,913",3.1%,"$48,914,508",96.9%,"$50,496,422"
324110,Petroleum Refineries,"$60,677",0.1%,"$42,618,303",99.9%,"$42,678,980"
513210,Software Publishers,"$225,416",0.5%,"$41,642,268",99.5%,"$41,867,684"
531110,Lessors of Residential Buildings and Dwellings,"$14,759,904",39.8%,"$22,291,797",60.2%,"$37,051,701"
441110,New Car Dealers,"$208,817",0.6%,"$33,158,182",99.4%,"$33,366,999"
336110,Automobile and Light Duty Motor Vehicle Manufacturing,"$4,968",0.0%,"$31,736,893",100.0%,"$31,741,861"
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","$981,992",3.1%,"$30,391,843",96.9%,"$31,373,835"
531210,Offices of Real Estate Agents and Brokers,"$8,960,177",28.6%,"$22,363,159",71.4%,"$31,323,337"
517111,Wired Telecommunications Carriers,"$6,080,266",19.4%,"$25,192,320",80.6%,"$31,272,586"
238220,"Plumbing, Heating, and Air-Conditioning Contractors","$29,730,799",96.5%,"$1,067,473",3.5%,"$30,798,271"
524126,Direct Property and Casualty Insurance Carriers,"$960,562",3.2%,"$28,733,596",96.8%,"$29,694,158"
541110,Offices of Lawyers,"$190,164",0.6%,"$29,339,973",99.4%,"$29,530,136"
445110,Supermarkets and Other Grocery (except Convenience) Stores,"$2,249,044",7.8%,"$26,615,287",92.2%,"$28,864,330"
721110,Hotels (except Casino Hotels) and Motels,"$380,482",1.4%,"$27,157,164",98.6%,"$27,537,646"
238210,Electrical Contractors and Other Wiring Installation Contractors,"$4,930,082",18.0%,"$22,497,728",82.0%,"$27,427,810"
611310,"Colleges, Universities, and Professional Schools","$13,710",0.1%,"$26,602,428",99.9%,"$26,616,137"
524114,Direct Health and Medical Insurance Carriers,"$185,027",0.7%,"$26,290,798",99.3%,"$26,475,825"
903622,Hospitals (Local Government),"$1,914,813",7.2%,"$24,550,794",92.8%,"$26,465,607"
111000,Crop Production,"$8,448,740",32.1%,"$17,857,230",67.9%,"$26,305,970"
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","$237,869",0.9%,"$25,909,339",99.1%,"$26,147,207"
541512,Computer Systems Design Services,"$778,411",3.0%,"$25,025,570",97.0%,"$25,803,981"
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),"$945,173",3.7%,"$24,801,822",96.3%,"$25,746,995"
481111,Scheduled Passenger Air Transportation,"$8,536",0.0%,"$25,286,892",100.0%,"$25,295,428"
424210,Drugs and Druggists' Sundries Merchant Wholesalers,"$24,779",0.1%,"$25,101,596",99.9%,"$25,126,375"
221122,Electric Power Distribution,"$1,282,786",5.3%,"$22,714,343",94.7%,"$23,997,129"
541511,Custom Computer Programming Services,"$1,666,719",7.0%,"$22,286,577",93.0%,"$23,953,295"
531390,Other Activities Related to Real Estate,"$22,914",0.1%,"$23,232,600",99.9%,"$23,255,514"
517112,Wireless Telecommunications Carriers (except Satellite),"$473,724",2.1%,"$22,231,329",97.9%,"$22,705,052"
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","$58,978",0.3%,"$22,217,180",99.7%,"$22,276,158"
